name,start_lat,start_lon
Wilson Memorial Regional Medical Center Heliport,42.1133995056,-75.9585037231
Westfield Memorial Hospital Heliport,42.329498291,-79.570602417
Susquehanna Heliport,42.0973014832,-76.2247009277
Kennedy Airfield,42.1007995605,-79.0818023682
Norman Kurrass Contractor Heliport,40.8003997803,-72.9168014526
Sutton on Rogue Airport,42.4847984314,-122.8659973145
Mason Airway Airport,42.324798584,-74.9862976074
Hart Airport,43.0329017639,-74.1510009766
Thomson Industries Inc Heliport,40.842300415,-73.7012023926
Poughkeepsie Main Plant Heliport,41.6572827552,-73.935649395
Hueston Woods Lodge Heliport,39.5828018188,-84.7627029419
Bellville Dam Landing Strip,39.0834007263,-81.7776031494
Gilmer Airport,39.8302993774,-84.5096969604
Buckeye Executive Airport,39.9623184204,-82.5499801636
Burr Oak Lodge Heliport,39.5303001404,-82.0333023071
Jenkins Airport,41.3097991943,-83.1159973145
Hanel Field,45.5926017761,-121.5490036011
Crocker Airport,41.2822990417,-81.9489974976
Bender Airport,40.6213989258,-82.5337982178
Haar Airport,41.4542007446,-83.2651977539
Toussaint Airpark,41.5155982971,-83.3058013916
C.C.A. Heliport,39.2834014893,-84.2976989746
Richards Airport,41.4039001465,-82.1064987183
Miami Valley Heliport,40.0480995178,-83.2270965576
Weaver Airport,41.0353012085,-83.5690002441
Lutz Airport,40.9617004395,-83.595199585
Ferrell Airport,40.976398468,-83.6416015625
Valley Forge Bicentennial Heliport,40.1212005615,-75.40599823
Forest Field,40.8287010193,-83.5138015747
Dice's Personal Heliport,41.6006011963,-83.6896972656
Johns Landing Airport,39.898601532,-82.1102981567
Quail Lakes Heliport,39.4547996521,-83.7813034058
Transportation Research Center of Ohio Airport,40.3081016541,-83.5417022705
Nesta Airport,40.6328010559,-82.1768035889
Bayes Airport,40.3400993347,-83.2841033936
Brothers Aviation Airport,40.0322990417,-81.4651031494
Riverside Methodist Hospital Heliport,40.0312004089,-83.0348968506
Governor's Mansion Heliport,35.4944992065,-97.5211029053
Champion Ranch Airport,33.008611,-104.540278
Van Pak Airport,39.8321990967,-99.5687026978
Omh Heliport,35.4812011719,-97.4985961914
Pawnee Municipal Hospital Heliport,36.3334007263,-96.8003005981
Flying Eagle Estates Airport,36.7037010193,-95.8404998779
Vo-Tech Heliport,36.0918006897,-95.2169036865
Diamond C Ranch Airport,34.778301239,-96.9274978638
Community Hospital Lakeview Heliport,35.3109016418,-95.5907974243
Cimarron Strip,36.1847991943,-96.5503005981
Central Park Helistop,35.5334014893,-97.5002975464
Strang Airpark,35.544498,-94.486297
Lafferty Field,44.3151016235,-123.0250015259
Shoestring Aviation Airfield,39.7947998047,-76.6472015381
Shaniko Ranch Airport,45.0028991699,-120.7399978638
Reforestation Services Heliport,44.8681983948,-123.0230026245
Sky Lakes Medical Center Heliport,42.2540016174,-121.783996582
King's Airport,45.9337005615,-118.4479980469
Portland Adventist Medical Center Heliport,45.51399994,-122.5579987
Oregon Health Sciences University Emerg Heliport,45.4991281091,-122.685334682
Fishback Heliport,45.603889,-123.078611
Wooldridge Agstrip Airport,44.7326011658,-123.0559997559
Wallace Heliport,45.5582008362,-122.5350036621
Lance Airport,40.1873016357,-75.5902023315
Philadelphia Gliderport,40.331227,-75.248125
Carbondale-Clifford Airport,41.654202,-75.578796
Old Plains Airport,40.3945007324,-75.4412994385
Meadow Strip Ultralightport,40.4757003784,-75.3096008301
S & C 8th & Market Helistop,39.9533996582,-75.149597168
Solt Field,40.7801017761,-75.7163009644
State Police Area Six Heliport,40.0334014893,-75.2496032715
Keystone Airport,39.7728004456,-79.2110977173
Thomas Jefferson University Hospital Heliport,39.9490013123,-75.1585006714
Lankenau Hospital Heliport,39.9878997803,-75.2606964111
Seitz Field,40.0390014648,-79.7900009155
Phoenix Technologies Heliport,40.1181983948,-75.4012985229
Childrens Hospital Of Philadelphia Heliport,39.947222,-75.196111
Franklin Heliport,41.2197990417,-75.8809967041
Baratta Heliport,41.1250991821,-75.9933013916
Veit Airport,41.8180999756,-76.4126968384
Malinchak Private Airport,41.6250991821,-75.5329971313
Perin Heliport,40.8470001221,-75.2437973022
Zokaites Heliport,40.6090011597,-80.0329971313
Eagle Lodge-Lafayette Hill Heliport,40.076499939,-75.2552032471
J T Willie Airport,40.8087005615,-79.6697998047
Doylestown Heliport,40.3070983887,-75.1465988159
Haunstein Ultralightport,40.3167991638,-77.1247024536
Pheasant Run Heliport,40.7495002747,-75.2101974487
Reading Hospital Heliport,40.3306007385,-75.9502029419
Siepsers Eye Port Heliport,39.9709014893,-75.65599823
W S Lee & Sons Inc Heliport,40.4472007751,-78.4289016724
Manor Landing Airport,39.8130989075,-77.2949981689
St Mary Medical Center Heliport,40.2022018433,-74.9228973389
Hunt Airport,27.8878002167,-97.3544006348
Camp Bullis Heliport,29.6418991089,-98.5781021118
Lakeside State Airport,43.5831985474,-124.1800003052
Winifred Airport,47.5516014099,-109.3779983521
Robbins Farm Airport,41.7495002747,-76.7602005005
Beaman Airport,45.4749984741,-100.0350036621
Oakleaf Airport,43.5833015442,-96.950302124
Weelborg Airport,43.8065986633,-96.7089004517
Aero Heliport,30.4500999451,-97.6639022827
Hilltop Ranch Airport,29.6585998535,-98.137802124
Urschel Ranch Airport,35.9289016724,-100.3069992065
Rogers Airport,29.8729991913,-94.9896011353
Placid Heliport,32.7817993164,-96.7981033325
Charlton-Careflite Heliport,32.643699646,-96.8775024414
Buccaneer Shore Facility Heliport,28.9769001007,-95.3173980713
Ecko Field,40.2375984192,-76.7247009277
U of Texas Medical Branch Emergency Room Heliport,29.3122005463,-94.7782974243
Taylor Ranch Airport,31.6840991974,-94.9772033691
Delta Mechanical Inc Heliport,29.8521995544,-95.4085006714
Twin Acres Airport,32.3992004395,-96.3835983276
M-I Drilling Fluids Company Heliport,28.9239006042,-95.3419036865
JL Bar Ranch,30.5683,-100.445
Thorp Airport,32.5778999329,-101.9309997559
Tanner's Airport,28.5697002411,-96.629699707
Kalt Ranch Airport,28.154499054,-96.9768981934
Rocky Creek Ranch Airport,29.9169006348,-96.8003005981
Fisher Airport,41.4944992065,-79.8309020996
Flying G H Ranch Airport,30.245278,-97.082778
Shell Pelican Island Heliport,29.3227005005,-94.7869033813
Dresser Industries/Magcobar/ Heliport,29.323299408,-94.7829971313
Summit Medical Center Heliport,36.1777992249,-86.6082992554
Versailles Aerodrome,35.7299995422,-86.5378036499
Meadowlark Airport,36.163898468,-88.2052993774
Mehrhoff Field,35.1136016846,-89.5243988037
Foreman Field,36.457698822,-86.9459991455
Askey Field,35.4583015442,-86.9569015503
Performance Helicopters Heliport,35.2886009216,-89.6742019653
Hostetler Airport,40.6309013367,-77.8503036499
Baskin Airport,35.5344009399,-89.7350006104
Dollar General Heliport,36.3133010864,-86.698600769
Toy Box Airport,36.0194015503,-86.2881011963
Diamond E Ranch Heliport,29.7861003876,-96.043296814
One O'Connor Plaza-Tower Heliport,28.8010997772,-97.0057983398
Cig 816 Heliport,29.8612995148,-94.7009963989
Simaron Ranch Airport,30.1483001709,-95.9669036865
Ladue Ranch Heliport,33.0068016052,-96.5068969727
Wilford Hall Medical Center Heliport,29.397377,-98.624175
Goodlett Field,32.3788986206,-97.1782989502
Linvill Airport,39.8847999573,-75.4149017334
U of Texas Medical Branch Ewing Hall Heliport,29.3129997253,-94.7766036987
Dallas Rehabilitation Institute Heliport,32.8487014771,-96.8788986206
Toyota of Dallas Inc Heliport,32.9079017639,-96.8906021118
Houston Police Command Station Heliport,29.6566009521,-95.3201980591
Bar S Ranch Airport,30.1432991028,-96.8561019897
Bennetts Airport,32.6371002197,-96.4083023071
Horan Airport,34.1689987183,-101.6350021362
Flying H Ranch Airport,30.6595993042,-97.9111022949
Camp Bullis Als (Cals) Airport,29.74469948,-98.53720093
Beggs Ranch Airport,33.1750984192,-101.0240020752
Lantana Ranch Airport,38.7639007568,-119.0270004272
Community Medical Center Nap Heliport,41.4000015259,-75.6352996826
Hitex Private Airport,33.8418006897,-96.6697006226
Infomart Heliport,32.802898407,-96.8210983276
Canon Ranch Airport,30.7481994629,-101.9649963379
Wilsall Airport,46.0497016907,-110.6849975586
Springview Municipal Airport,42.8292007446,-99.7397994995
Trenton Municipal Airport,40.1875,-101.0250015259
Harrison Skyranch Airport,42.6958007812,-103.875
Bath Alum Airport,38.0526008606,-79.7288970947
Holly Point Airport,37.4053993225,-76.3882980347
Inova Alexandria Hospital Heliport,38.8226013184,-77.1041030884
Carson Heliport,40.3334007263,-75.2163009644
Crippen Creek Farm Airport,37.7629013062,-75.5718994141
Franwood Farms Inc. Airport,38.6908988953,-78.6295013428
Bluegrass Heliport,39.0638999939,-77.8890991211
Louise Obici Memorial Hospital Heliport,36.7528991699,-76.5858001709
Fire Station No. 14 Heliport,37.3549,-77.415497
Innsbrook Pavilion Heliport,37.6487998962,-77.5849990845
Southampton Memorial Hospital Heliport,36.6992988586,-76.9383010864
Campbell Field,37.4584999084,-75.8787994385
Jucapa Farms Airport,39.3721008301,-78.3044967651
Simpson Airport,39.0933990479,-80.0259017944
Fletcher Airport,41.4435997009,-80.1539001465
Baublitz Commercial Airport,39.8522987366,-76.4863967896
Clio Crop Care Airport,34.5614013672,-79.5381011963
Boeing Plant 2 Heliport,47.5368003845,-122.31300354
Quincy Valley Hospital Ems Heliport,47.231098175,-119.8679962158
Odessa Memorial Hospital Ems Heliport,47.3306007385,-118.6809997559
River Bend Airport,48.4696006775,-117.2900009155
Piper Canyon Airport,45.8027992249,-120.9560012817
Mid-Valley Hospital Ems Heliport,48.7291984558,-119.5459976196
Puget Sound Plaza Heliport,47.6082000732,-122.3320007324
Albritton Airport,47.2155990601,-122.1330032349
Pete's Water Landing Seaplane Base,40.6994018555,-79.6188964844
Mason General Hospital Heliport,47.2248001099,-123.1119995117
Naval Submarine Base Bangor Heliport,47.7036031255,-122.714806795
All-State Equipment Co. Heliport,42.9625015259,-87.9750976562
Black Otter Airport,44.3293991089,-88.6235961914
Flying Dollar Ranch Airport,44.2874984741,-87.7958984375
Buchholz Farm Airport,44.2854995728,-87.9868011475
Faken Airport,42.9785995483,-88.134803772
Tamarack Airport,42.8283004761,-88.5745010376
Kitty Hawk Estates Airport,45.1040992737,-89.0167999268
Fletcher Airport,42.693901062,-88.3793029785
Flying Acres Airport,41.0731010437,-80.0702972412
Carlson Airport,46.6208000183,-92.0819015503
Courtney Plummer Airport,44.1068992615,-88.6839981079
Voyager Village Airstrip,45.9665985107,-92.1460037231
Ozaukee Airport,43.4213981628,-87.888999939
Rag Wing Airport,45.0839996338,-89.029800415
Lodi Lakeland Airport,43.3333015442,-89.5210037231
Medos Lake Delton Seaplane Base,43.6068992615,-89.7776031494
Coloma Municipal Airport,44.0600013733,-89.5668029785
Antique Aerodrome,44.367639,-88.158678
Sheridan Memorial Hospital Heliport,44.807778,-106.975278
Wyeth-Ayerst Nr Heliport,40.1586990356,-75.4634017944
Sack-O-Grande Acroport Airport,29.9127006531,-95.8265991211
Chimera Aerodrome,32.355752,-97.039822
Dobbs Ranch Airport,29.0979995728,-96.9552993774
The Landing Airport,31.8355998993,-96.952796936
Beaver Creek Airport,33.6542626352,-96.7763596773
Macy Ranch Airport,33.1034011841,-101.4649963379
Mc Keon Aviation Airport,33.7342987061,-96.626701355
Kitten Farm Private Airport,33.3501014709,-101.641998291
Sudan Airport,34.0531005859,-102.5220031738
Reeder Airport,32.947101593,-95.9586029053
Kitner Airport,40.4128990173,-77.2414016724
Goodson Honda Heliport,30.0,-95.4257965088
Rancho Verde Airport,30.2833003998,-96.4475021362
Bowstring Airport,47.5499000549,-93.866897583
East Gull Lake Airport,46.3833007812,-94.3619003296
Sky Harbor Seaplane Base,47.4595985413,-92.476600647
Barron Municipal Airport,45.4075012207,-91.8342971802
Kodiak /Lilly Lake/ Seaplane Base,57.8026008606,-152.3829956055
Kvichak /Diamond J/ Airport,58.962600708,-156.9320068359
Levelock Airport,59.1281013489,-156.85899353
Lawing Airport,60.4110984802,-149.3699951172
Nichols Airport,41.7792015076,-79.5983963013
Dixie US Forest Service Airport,45.520699,-115.517997
Bold Airport,61.3413009644,-148.9989929199
Saginaw Seaplane Base,56.8862991333,-134.158004761
Adin Airport,41.186000824,-120.952003479
Seldovia Seaplane Base,59.4341011047,-151.707992554
Fort Bidwell Airport,41.8763008118,-120.1470031738
Sitka Seaplane Base,57.0521011353,-135.345993042
Taku Harbor Seaplane Base,58.0690994263,-134.01499939
Costin Airport,29.7584991455,-85.289100647
Alsek River Airport,59.1991802403,-138.447293043
Memmi Airport,40.1689987183,-77.9925003052
Tuntutuliak Airport,60.3353004456,-162.667007446
Twin Hills Airport,59.0755996704,-160.2729949951
Harlequin Lake Airport,59.4143981934,-139.0249938965
Situk Airport,59.5516014099,-139.5090026855
Tanis Mesa Airport,59.2480010986,-138.5039978027
Dangerous River Airport,59.4127998352,-139.1940002441
Yankee Creek 2 Airport,63.0018997192,-156.367004395
Chignik Lake Airport,56.2550010681,-158.774993896
Gunsight Mountain Airport,61.8995018005,-147.3229980469
Shump Airport,62.51015,-149.926717
Drillmore Acres Airport,40.1282997131,-77.631401062
West Beaver Seaplane Base,61.584961,-149.846531
Horseshoe Lake Seaplane Base,61.571481,-149.924111
Central Pad Heliport,70.171228,-146.258517
Viking Heliport,61.224775,-149.839094
Shelby Strip,61.507811,-149.078481
Sixmile Lake Airport,61.289722,-149.806111
Saddleback Island Heliport,61.521575,-149.927139
Alaska Heliworx Heliport,61.594722,-149.153889
Busch Creek Airport,62.477502,-147.774722
Misty Lake Seaplane Base,61.550739,-149.676131
Vassar Hospital Heliport,41.7000999451,-73.9496002197
Shriver Airport,41.6166992188,-79.6830978394
Dove Island Lodge Seaplane Base,57.0408333,-135.2955556
Toolik Heliport,68.628168,-149.589
Delta Daves Airport,64.132858,-145.804494
Pioneer Heliport,70.4141,-150.018592
Trio Estates Airport,61.648189,-149.870831
Gus Landing,61.60415,-149.770119
35 Mile Lodge Heliport,59.4375556,-136.2293611
Nikaitchuq Operations Center Heliport,70.4824806,-149.8532333
Barlett Regional Hospital Heliport,58.328803,-134.460083
Point Thomson Sea Ice Airstrip,70.181144,-146.35035
Paul Personal Use Airport,41.7195014954,-79.6778030396
Spy Island Drill-Site Heliport,70.55625,-149.9105278
Timber Trails Airport,64.769444,-147.329444
Walby Lake Seaplane Base,61.616419,-149.221031
Adado Airport,6.095802,46.6375
Rothera Point Airport,-67.5669411575,-68.1269931793
RAF Calveley,53.113333,-2.603889
RNAS/RAF Calshot,50.8199131549,-1.3067722321
Atkamba Airport,-6.0655555556,141.095277778
Abau Airport,-10.1956,148.7389
Camí Heliport,42.546257,1.51916
Frederick Airpark,41.3708992004,-79.3416976929
Andorra la Vella Heliport,42.511174,1.533551
Andakombe Airport,-7.1372222222,145.744722222
RAF Castletown,58.5847198881,-3.3481693268
El Daein Airport,11.4023,26.1186
Batha Airport,24.214693,51.44989
Burj al Arab Resort Helipad,25.141327,55.185496
Dubai Skydive,25.0898742332,55.1366257668
Sheikh Sultan Bin Khalifa bin Zayed Al Nahyan palace Heliport Complex,25.1225658976,55.1746809483
Kempinski Emirates Palace Twin Heliport,24.4622678828,54.3205904961
Jebel Ali Seaplane Base,24.988967,55.023796
Mc Crory Stores Heliport,39.9814987183,-76.6714019775
Al Ghuwaifat Border Post helipad,24.120421,51.600595
Al Ghuwaifat Customs Post helipad,24.128339,51.616767
Delma Hospital Helipad,24.4756,52.3101
Schumacher Heliport,25.221807,55.138836
Palm Jumeirah Heliport,25.127297,55.114092
Waldorf Astoria Dubai Palm Jumeirah Helipad,25.133372,55.150379
Oceana Palm Jumeirah Helipad,25.110083,55.135169
Ghantoot Racing & Polo Club Helipad,24.86824,54.905556
Golden Tulip Al Jazira Helipad,24.858628,54.894996
Ghantoot Hotel 1 Helipad,24.866038,54.88826
Marian Heliport,40.9894981384,-75.7512969971
Ghantoot Hotel 2 Helipad,24.865417,54.882283
Ghantoot Hotel 3 Helipad,24.894949,54.860294
Dubai Festival City Helipad,25.220765,55.349227
Yas Marina Heliport,24.468368,54.609561
Yas Marina Circuit Heliport,24.469136,54.603443
Al Mushrif Palace Helipad,24.452066,54.377368
Al Forsan Helipad,24.406998,54.543507
Yasat Higher Airport,24.221075,52.006719
Sila Hospitals Helipad,24.068301,51.762519
Erase Me 21,0.0,-0.6000000000000001
Carsonville Airport,40.490398407,-76.7666015625
F*#$ Off @james_Andrew!!!,0.6000000000000001,0.7000000000000001
Adareil Airport,10.0536111111,32.9594444444
Algeciras Heliport,36.12888,-5.441118
Aseki Airport,-7.3508048555,146.19386673
Ajrestan Airport,33.4852981567,67.1440963745
Dehdadi Airport,36.6460990906,67.0323028564
Charikar Airport,35.1431007385,69.3143997192
Dostmohammadkhan Kalay Airport,31.0450000763,64.1541976929
F@# Off Spammer!,0.7000000000000001,0.7000000000000001
Helmand Airport,30.3300991058,61.896900177
Old Orchard Airport,41.0083999634,-78.5608978271
Khvej Ghar North Airport,37.0710983276,69.4950027466
Khvej Ghar South Airport,37.0611991882,69.4882965088
Kotubkhel Airport,34.1929016113,69.1356964111
Nayak Airport,34.6870994568,66.8932037354
Orūzgān Airport,32.9029998779,66.630897522
Salerno Landing Zone Airport,33.3638000488,69.9561004639
Sarhawdza Landing Zone Airport,33.1561012268,68.8197021484
Sheber Too Landing Zone Airport,34.7789001465,67.4867019653
Tapa Airport,32.745098114,62.5987014771
Qara Tepa Heliport,37.4233016968,69.4302978516
Used Parts Heliport,40.8792991638,-75.1927032471
Kondavattavana Tank Seaplane Base,7.284,81.644
Afore Airstrip,-9.1422222222,148.390833333
Afutara Aerodrome,-9.1913888889,160.948611111
Ulawa Airport,-9.8605435826,161.979546547
Uru Harbour Airport,-8.87333,161.011002
Barakoma Airport,-7.912779808,156.7059936523
Geva Airport,-7.5758299828,156.5970001221
Angoram Airport,-4.0558333333,144.073888889
Auki Airport,-8.7025699615,160.682006836
Bellona/Anua Airport,-11.3022222222,159.798333333
Herbst Heliport,39.9495010376,-76.5532989502
Choiseul Bay Airport,-6.711944,156.396111
Ballalae Airport,-6.990745,155.886656
Fera/Maringe Airport,-8.1075,159.576996
Honiara International Airport,-9.4280004501,160.0549926758
Babanakira Airport,-9.7475004196,159.8390045166
Avu Avu Airport,-9.8683333333,160.410555556
Ngorangora Airport,-10.4497003555,161.897994995
Santa Cruz/Graciosa Bay/Luova Airport,-10.7202997208,165.7949981689
Munda Airport,-8.3279695511,157.2630004883
Nusatupe Airport,-8.0977802277,156.863998413
Harman Airport,40.5223007202,-76.8454971313
Mono Airport,-7.4169402122,155.5650024414
Parasi Airport,-9.6416702271,161.4250030518
Ontong Java Atoll Airstrip,-5.515,159.527777778
Rennell/Tingoa Airport,-11.5339002609,160.06300354
Sege Airport,-8.5788898468,157.8760070801
Santa Ana Airport,-10.847994,162.454108
Marau Airport,-9.8616695404,160.824996948
Suavanao Airport,-7.585559845,158.7310028076
Yandina Airport,-9.092816,159.21841
El Paraíso Airport,8.128611,-73.584722
Galion Community Hospital Heliport,40.7305984497,-82.8015975952
Bayfront Garage Heliport,42.132598877,-80.0861968994
Kagua Airport,-6.3963888889,143.853611111
Kaghau Airport,-7.3305,157.585
Kukudu Airport,-8.0262,156.94783
Kwailabesi Airport,-8.360508,160.775127
Wanigela Airport,-9.3375,149.155555556
Nana Airport,-10.6758,162.2049
Ringi Cove Airport,-8.1263904572,157.1430053711
Ramata Airport,-8.1680603027,157.6430053711
Tulaghi Heliport,-9.108,160.149166667
Argyle Downs Airport,-16.514,128.9245
Delaware Valley Medical Center Heliport,40.1828994751,-74.8678970337
Hongyuan Airport,32.53154,102.35224
Amchitka Army Airfield,51.3777777778,179.259166667
Ambatolhy Airport,-20.0158333333,45.535
Aiome Airport,-5.145699978,144.7307003
Aiambak Airport,-7.3427777778,141.2675
Ailinglaplap Airok Airport,7.279422,168.8257
Jakes Bar Airport,61.2187004089,-142.8899993896
Anchor River Airpark,59.7966995239,-151.8630065918
Alaska Airpark,60.528983,-150.625133
Bear Creek 1 Airport,65.5399017334,-161.06199646
Sonoma Valley Airport,38.2234992981,-122.4499969482
Skelton Airport,61.9370002747,-147.169006348
Breeden Airport,60.54105,-150.599217
Denali Airport,63.6450996399,-148.7980041504
Dog Fish Bay Airport,59.2410011292,-151.8769989014
Thomas Strip,61.7899017334,-150.1060028076
Wingsong Estates Airport,64.0495986938,-145.5019989014
Butte Municipal Airport,61.5303001404,-149.0180053711
AK-10 Airstrip,61.71721,-150.108992
Point Mcintyre Airport,70.4017028809,-148.6820068359
Flying Crown Airport,61.1066017151,-149.8639984131
Selma Airport,36.5816001892,-119.6579971313
Chena Hot Springs Airport,65.0518035889,-146.04699707
Turinsky Airstrip,61.3512992859,-150.089004517
Sunset Strip,61.52339935,-149.7149963
Glacierview Strip,59.7635993958,-151.2230072021
Camp Point Airport,59.8284988403,-153.0809936523
Carl's Landing Airport,62.1739006042,-150.0639953613
CD-3 Airstrip,70.420622,-150.886667
Nushagak Airport,59.132598877,-157.7769927979
Lakloey Air Park,64.8217010498,-147.5220031738
Hilltop Airport,61.41820145,-149.4389954
Shingletown Airport,40.5220985413,-121.818000793
Piper Landing Airport,61.6175003052,-149.6150054932
Solomon State Field,64.5605,-164.4457
Valley Flying Crown Airport,61.6426010132,-149.6239929199
Chena Marina Airport,64.8140029907,-147.9190063477
Reids Landing Airport,61.6125984192,-149.8520050049
Strawberry Point Airport,60.391153,-146.097464
Swift Creek Airport,61.4112014771,-143.0010070801
Oooguruk Island Heliport,70.495422,-150.253467
Herendeen Bay Airport,55.801399231,-160.899002075
Kashwitna Lake Seaplane Base,61.8353004456,-150.080001831
Sonoma Skypark Airport,38.2577018738,-122.4339981079
Buffalo Row Heliport,64.0389022827,-145.738998413
Point Mac Airport,61.436000824,-150.1219940186
Point Mackenzie Heliport,61.2495002747,-150.035995483
Providence Hospital Heliport,61.188999176,-149.822006226
South Gasline Airport,60.6972007751,-150.1799926758
Nixon Fork Mine Airport,63.2291984558,-154.759994507
Greg'n Sage Airport,64.5438995361,-146.8439941406
Valley Hospital - Palmer Heliport,61.600899,-149.106009
Jacobsen Lake Seaplane Base,61.5791015625,-149.539001465
Talkeetna Village Strip,62.318901062,-150.1159973145
Lincoln Municipal Airport,38.4039001465,-93.3330001831
Lost River 2 Airport,65.456199646,-167.175003052
Abi Airport,61.6287994385,-149.0429992676
Shawn Field,61.5857009888,-149.56300354
"Valley Hospital, Wasilla Heliport",61.585202,-149.425004
Taylor Airport,65.6792984009,-164.798995972
Encelewski Lake Seaplane Base,60.2555999756,-151.3029937744
Sky Ranch At Pioneer Peak Airport,61.554599762,-149.1439971924
Wilder/Natwick LLC Airport,60.198600769,-154.324996948
Moen's Ranch Airport,64.8889007568,-147.5359954834
Downwind Landing Airport,61.582298,-148.996994
The Red River Airport,31.9906997681,-93.3074035645
Stro's Airport,61.6571006775,-149.3260040283
Moose Run Airstrip,60.489200592,-150.8020019531
Tikchik Lodge Seaplane Base,59.9631996155,-158.477005005
Long Lake Seaplane Base,61.7257003784,-150.091003418
Fairview West Airport,61.5400009155,-149.5489959717
King Ranch Airport,61.7956008911,-148.3549957275
Fort Jensen Airport,57.8851013184,-157.0970001221
Stephan Lake Lodge Airport,62.6996002197,-148.9069976807
Naukati Bay Seaplane Base,55.849602,-133.227994
Pat-Mar Strip,61.5886001587,-149.1430053711
Plainville Airpark,39.1944999695,-99.3033981323
Taylor Mountain Airport,60.8678016663,-157.391998291
Green's Strip,61.5979003906,-149.3509979248
Hunter Creek Airport,61.4631004333,-148.8040008545
Skid Marks Airport,61.7386016846,-150.0729980469
Minuteman Strip,61.7202987671,-150.0540008545
Long Lake Airport,61.7293014526,-150.0980072021
Lonely Air Station,70.91069794,-153.2420044
Jewell Airport,61.70470047,-150.6009979248
McGahan Industrial Airpark,60.7252998352,-151.302001953
Kodiak Emergency/Spruce Cape Heliport,57.8078994751,-152.3540039062
