start_name,start_loc_lat,start_loc_lon,end_name,end_loc_lat,end_loc_lon
Hooterville Airport,-89.091796875,40.1433982849,Hayenga's Cant Find Farms Airport,-89.1229019165,40.0256004333
Gardner Municipal Airport,-94.956199646,38.8069000244,Hayden Farm Airport,-94.9304962158,38.7277984619
Short Airport,-84.5571975708,37.2723007202,Robbins Roost Airport,-84.6196975708,37.4094009399
Shell Chemical West Site Heliport,-90.996111,30.182222,Shell Chemical East Site Heliport,-90.980833,30.191944
Shag Bark Farms Heliport,-89.7490005493,39.7037010193,Ac & R Components Heliport,-89.7055969238,39.6652984619
Le Gros Memorial Airport,-92.4849014282,30.1609992981,Lejeune Airport,-92.429397583,30.1362991333
Oak Grove Farm Airport,-75.721508,38.657172,Pevey Airport,-75.6996994019,38.6125984192
Memorial Medical Center Heliport,-86.428237,43.957945,Dow Chemical Heliport,-86.4167022705,43.9494018555
Barry Heliport,-95.848272,46.450953,Battle Lake Municipal Airport,-95.700302124,46.2999992371
Frerer Strip,-94.3640975952,37.1351013184,Kathy's Patch Airport,-94.405502,37.108898
Havre City County Airport,-109.762001,48.54299927,Willow Creek Airport,-109.7333297729,49.0
South Jersey Hospital System Heliport,-75.2216033936,39.4367980957,Cumberland County Mosquito Control Helistop,-75.2055555556,39.4216666667
Triangle North Executive Airport,-78.330299,36.0233,North Raleigh Airport,-78.3713989258,36.0852012634
Rutgers Helistop Nr 1 Heliport,-74.4663009644,40.5167999268,Colgate-Piscataway Heliport,-74.4746017456,40.5209007263
Hawk's Nest Airport,-73.3503036499,44.8782997131,Rouses Point Seaplane Base,-73.3635025024,44.9916992188
Krenzers Airport,-77.5330963135,42.8833999634,Fort Hill Airport,-77.547798,42.902002
Fulton County Airport,-84.1271972656,41.6100997925,Exit 3 Airport,-84.1421966553,41.5909004211
St Elizabeth Medical Center Heliport,-84.199899,39.750099,Moraine Air Park,-84.2429962158,39.682598114
Independence State Airport,-123.1979980469,44.8670005798,Steel Systems Heliport,-123.1299972534,44.9328994751
Indian Sleep Farm Heliport,-75.6960983276,39.9248008728,R J D Heliport,-75.7469024658,39.9488983154
Still Meadow Farm Airport,-80.1628036499,41.3106002808,Fletcher Airport,-80.1539001465,41.4435997009
Perry Health Center Heliport,-77.341667,40.366664,Thomas Field,-77.365303,40.3778
Santiam Junction State Airport,-121.9420013428,44.4346008301,Mc Kenzie Bridge State Airport,-122.088996887,44.1832008362
Sumter Airport,-80.3612976074,33.9949989319,Flying O Airport,-80.2671966553,34.0093994141
City of Fort Worth Heliport,-97.3249969482,32.7779006958,Sw Region Faa Heliport,-97.3058013916,32.8269004822
Medical Center North Hills Heliport,-97.212797,32.826401,Nrh Fire Department Heliport,-97.2300033569,32.8591995239
Roseanne Airport,-86.0025,35.618056,Ragsdale Road Airport,-85.9535980225,35.5158996582
Birk Airport,-97.1920013428,32.6278991699,Alpine Range Airport,-97.2419967651,32.6076011658
San Jacinto Methodist Hospital Heliport,-94.9791030884,29.7688007355,Baytown Airport,-94.9526977539,29.7861003876
Carmel Mountain Ranch Airport,-112.7009963989,37.2668991089,Kanab Municipal Airport,-112.53099823,37.011100769
Holeman Field,-79.118598938,36.4996986389,Winstead '76' Airport,-79.1280975342,36.3996009827
Micro Airport,-80.4487991333,36.7351989746,Groundhog Mountain Airport,-80.49949646,36.6632995605
Lower Granite Dam Heliport,-117.43800354,46.6613006592,Dye Seed Ranch Inc. Airport,-117.4499969482,46.5074005127
Gower Field,-122.8209991455,47.1114997864,Fishtrap Heliport,-122.8700027466,47.1492996216
Waupaca Municipal Airport,-89.01979828,44.33330154,Casey Lake Airport,-89.0158996582,44.408000946
Skid Row Seaplane Base,-117.077925,46.423986,Hawks Run Airport,-117.2490005493,46.25
Elkins-Randolph Co-Jennings Randolph Field,-79.85710144,38.88940048,Fairview Airport,-79.7886962891,38.956199646
Mc Murry Heliport,-106.254167,42.826667,Mountain View Regional Hospital Heliport,-106.224443,42.840361
T Bar Airport,-101.8199996948,33.1769981384,L P Askew Farms Airport,-101.9339981079,33.0334014893
Minchumina Airport,-152.302002,63.886002,Purkeypile Airport,-152.2700042725,62.9435997009
Seward Airport,-149.4190063477,60.1268997192,Providence Seward Medical Center Heliport,-149.446249008,60.1058739754
Lay Dam Heliport,-86.519564,32.959231,Ware Island Airport,-86.5139007568,32.9459991455
J Lynn Helms Sevier County Airport,-94.3993988037,34.047000885,Community Hospital of De Queen Heliport,-94.3548965454,34.0472984314
Montezuma Airport,-111.8649978638,34.6049995422,Yat Heliport,-111.8649978638,34.6081008911
Tyrone Airport,-85.7811965942,43.2891998291,Wilderness Airpark,-85.7117004395,43.2447013855
Hesperia Airport,-117.3160018921,34.3772010803,Lugo Substation Heliport,-117.370058745,34.3682405917
High Hill Ranch Heliport,-120.7180023193,38.742099762,Swansboro Country Airport,-120.7340011597,38.7999000549
Santa Fe International Corp Heliport,-118.1490020752,34.0807991028,Sce Energy Control Center Heliport,-118.1449966431,34.0839004517
Lake County Airport,-106.317001343,39.2202987671,Granite Heliport,-106.2679977417,39.086101532
H O Penn-1 Heliport,-72.7284011841,41.6607017517,Berlin Fairgrounds Heliport,-72.7275009155,41.6273002625
Big Oaks Ranch Airport,-81.0845031738,28.6669006348,Southerland Strip,-81.0786972046,28.73279953
Paradise Landing Seaplane Base,-81.3769444444,28.6538888889,Florida Hospital-Altamonte Heliport,-81.3705978394,28.6664009094
Alligator Drink Seaplane Base,-81.1641998291,28.7877998352,Cedar Knoll Flying Ranch Airport,-81.1592025757,28.7819004059
Columbus Metropolitan Airport,-84.9389038086,32.5163002014,Pratt and Whitney Aircraft Heliport,-84.8319015503,32.5432014465
Chinaberry Ranch Airport,-82.8989028931,32.6935997009,The Farm Airport,-82.7711029053,32.6744003296
Davenport Municipal Airport,-90.58830261,41.61029816,Stender Airport,-90.7413024902,41.6610984802
Downey/Hyde Memorial Airport,-112.1090012,42.42630005,Malad City Airport,-112.2969970703,42.1665992737
Haffner Airport,-86.5278015137,39.8774986267,Bergs Airport,-86.5813980103,39.8861999512
Leak Airport,-87.5049972534,40.4338989258,Hoopeston Community Memorial Hospital Heliport,-87.6595001221,40.4585990906
Anderson Municipal Darlington Field,-85.6129989624,40.1086006165,Burk Personal Use Airport,-85.6027984619,40.0505981445
Koenig Airport,-90.3421020508,39.0550003052,William E. Koenig Airport,-90.3181991577,39.0162010193
Davis Field,-82.0276031494,30.7975006104,Okefenokee Heliport,-82.126701355,30.7374992371
Cc & M Airport,-97.7183990479,36.7972984314,Medford Municipal Airport,-97.7490005493,36.790599823
Navrat Airport,-97.011398,38.4828,Marion Municipal Airport,-96.9916992188,38.3375015259
Western Baptist Hospital Heliport,-88.6256027222,37.0750999451,Lourdes Hospital Heliport,-88.6468963623,37.051700592
Arkla Flyers Inc Airport,-91.7962036133,32.7650985718,Barham Airport,-91.7736968994,32.638999939
Lambert Airport,-89.4589996338,38.0862007141,Hepp Airport,-89.5792999268,38.0336990356
Annison Private Airport,-91.0606994629,30.7045993805,Country Breeze Airport,-91.0774002075,30.7059993744
Tew Mac Heliport,-71.205,42.5975,Digital Heliport,-71.2245025635,42.6393013
Clements Creek Seaplane Base,-76.522697,39.021198,Anne Arundel Medical Center Heliport,-76.5340071917,38.9906164737
Portage Lake Municipal Seaplane Base,-68.480796814,46.7602996826,Allen St Peter Memorial Airport,-68.4711990356,46.75
Duford Field,-83.626297,43.125,Flow Through Terminal Heliport,-83.6797027588,43.0494995117
Cook Hospital Heliport,-92.6791000366,47.8530006409,Cook Municipal Airport,-92.6893997192,47.8218994141
St Lukes Hospital West Heliport,-90.5037002563,38.6511993408,Spirit of St Louis Airport,-90.6520004272,38.6621017456
Barnaby Lake Medivac Site Heliport,-114.968444,48.778194,Eureka Airport,-115.0759963989,48.9738006592
Camp Davis Mcolf Airport,-77.5500030518,34.5167007446,Holly Ridge/Topsail Island Airport,-77.531094,34.491001
Harden Airstrip,-100.7279968262,41.0652999878,Detour Airport,-100.6529998779,40.8436012268
Phantom Two Heliport,-72.202722,43.667833,Hollander's Heliport,-72.2031021118,43.5820007324
Essex Generating Station Heliport,-74.1188964844,40.7378005981,Helo Kearny Heliport,-74.116638,40.731528
Artesia Municipal Airport,-104.468002319,32.8525009155,Champion Ranch Airport,-104.540278,33.008611
Flying M Ranch Airstrip,-118.9960021973,38.6094017029,Hawthorne Industrial Airport,-118.634002,38.544399
St Francis Hospital Heliport,-73.9273986816,41.7187004089,Airhaven Airport,-73.8759994507,41.8325996399
Horning Airport,-82.7527008057,40.7361984253,Galion Community Hospital Heliport,-82.8015975952,40.7305984497
Lasley Private Airport,-98.5711975098,35.359500885,King Airport,-98.4837036133,35.3000984192
Silver Lake F S Strip,-121.09400177,43.111000061,Red & White Flying Service Airport,-121.044997,43.119301
Zokaites Heliport,-80.0329971313,40.6090011597,Lenzner Farm Airport,-80.1173019409,40.5387001038
Bellefonte Airport,-77.8162994385,40.8855018616,Bierly(Personal Use) Airport,-77.738899231,40.9305992126
Chambers Airport,-76.04959869,41.55009842,Nort's Resort Airport,-76.0296020508,41.5959014893
Bethel-Lake Wylie Airport,-81.137298584,35.0500984192,York Airport,-81.2527999878,35.0321006775
Medical Center of Arlington Heliport,-97.1110992432,32.692199707,Arlington Municipal Airport,-97.0942993164,32.663898468
Sunset Airport,-96.4794006348,32.7070999146,Smith Field,-96.4280014038,32.7375984192
Burkeen Field,-89.7025985718,35.0261993408,Colonial Air Park,-89.7305984497,34.9958992004
John Peter Smith Health Network Heliport,-97.326111,32.7275,John Peter Smith EMS Building Heliport,-97.3265914917,32.726978302
Baylor Medical Center Heliport,-96.8641967773,32.395401001,Mims Farm Ultralightport,-96.8775024414,32.3875999451
Currant Ranch Airport,-115.4800033569,38.736000061,Duckwater Airport,-115.6340026855,38.851600647
Sky Ranch Airport,-109.4489974976,38.4878005981,La Sal Junction Airport,-109.3960037231,38.3083000183
Bluegrass Heliport,-77.8890991211,39.0638999939,Pickles Airport,-77.9250030518,39.125
Willapa Harbor Airport,-123.8229980469,46.6976013184,Willapa Harbor Heliport,-123.81199646,46.6632003784
Bloyer Field,-90.48349762,43.97499847,Tomah Memorial Hospital Heliport,-90.5154037476,43.9846992493
AJ Eisenberg Airport,-122.674003601,48.251499176,Barnes Lonesome Polecat Ranch Heliport,-122.6669998169,48.2583007812
Will Rogers Wiley Post Memorial Seaplane Base,-122.21900177,47.4998016357,Renton Municipal Airport,-122.216003418,47.4930992126
Taylor Field,-104.59400177,44.418598175,Keyhole Airport,-104.8109970093,44.3471984863
San Marcos Regional Airport,-97.862999,29.8927,Alison Air Park,-97.8891983032,29.8313007355
Glad Oaks Airport,-95.7002029419,32.0167999268,Meadowood Ranch Heliport,-95.7454986572,32.020198822
Kashwitna Lake Seaplane Base,-150.080001831,61.8353004456,Rustic Wilderness Airport,-150.0980072021,61.8768997192
Irwin Farms Airport,-87.7256011963,30.3731994629,Styron Airport,-87.7241973877,30.4029998779
Two Rivers Airport,-92.4417037964,34.8405990601,Three Rivers Airport,-92.4444198608,34.8224449158
Cochise County Airport,-109.8949966,32.24539948,Northern Cochise Community Hospital Heliport,-109.8339996338,32.2723007202
Swepi Beta Platform Eureka Heliport,-118.1179962158,33.5638999939,Swepi Beta Platform Ellen Heliport,-118.1289978027,33.5825004578
Nwmrmc Heliport,-90.5518035889,34.1783981323,Fletcher Field,-90.512298584,34.2997016907
Tejon Agricultural Airport,-118.9150009155,34.9891014099,Conover Air Lodge Airport,-119.0589981079,34.761100769
Van Treese Airport,-106.033996582,37.6582984924,Leach Airport,-106.0380020142,37.7846984863
Ellington Airport,-72.4570007324,41.9244995117,Wysocki Field,-72.4776000977,41.945400238
Sheets Airport,-81.8467025757,28.5328998566,Kings Field,-81.8003005981,28.508600235
Joy Farms Airport,-86.1093978882,30.6520996094,Cuchens Airport,-86.123889,30.642778
Jackson County Airport,-83.560699,34.174,Doug Bolton Field,-83.4290008545,34.2025985718
Etowah Bend Gliderport,-84.9772033691,34.2019996643,Etowah Fields Airport,-84.9244003296,34.1753005981
Ford Island Naval Auxiliary Landing Field,-157.9600067139,21.364900589,Kalaeloa Airport,-158.070009,21.3074
Boone Municipal Airport,-93.8476028442,42.0495986938,Boone County Hospital Heliport,-93.8779983521,42.056098938
Sulphur Creek Ranch Airport,-115.367282,44.537881,Bruce Meadows Airport,-115.3170013428,44.4155006409
Indianapolis Executive Airport,-86.251404,40.030701,King Ultralightport,-86.2105026245,40.0623016357
Alexandria Airport,-85.6374969482,40.2324981689,Diamond P. Field,-85.540802002,40.2089004517
Lake Forest Hospital Heliport,-87.8635588288,42.2541502628,Condell Medical Center Heliport,-87.9572982788,42.2746009827
St. Joseph'S Landing,-96.033039,39.243803,St Mary's Airpark,-96.061402,39.272499
Old Morehead-Rowan County Airport,-83.5380020142,38.1333999634,Morehead-Rowan County Clyde A. Thomas Regional Airport,-83.587611,38.215
Capital City Airport,-84.90470123,38.18249893,Boone National Guard Heliport,-84.8999023438,38.1833992004
Barksdale Air Force Base,-93.6626968384,32.5018005371,La State Police Troop G Heliport,-93.6602020264,32.5312995911
Heli-Air Inc. Heliport,-91.9441986084,30.1466999054,Rotorcraft Heliport,-91.9506988525,30.1523990631
Cuttyhunk Harbor Seaplane Base,-70.927298,41.423199,Cuttyhunk Heliport,-70.9270019531,41.4196014404
Chalk Point Generating Station Heliport,-76.69270325,38.55649948,Robinson Private Airport,-76.6836013794,38.5242996216
Buzzy's Field,-70.9681015015,43.6083984375,Nadeau's Airport,-70.929397,43.5373
Minikey Airport,-85.0616989136,43.1617012024,Fairplains Airpark,-85.1484985352,43.1571006775
Chanlin Field,-96.1288986206,48.4235992432,Honker Flats Airport,-95.952004,48.538896
Baldwin Airport,-91.0418014526,39.1133995056,Troy Airpark,-91.0335006714,39.0499992371
Griffin Agricultural Airport,-90.952796936,34.1981010437,Watts Field,-90.8468017578,34.1001014709
Cascade Airport,-111.7220001221,47.2708015442,Barrett Field,-111.7419967651,47.2374000549
Mercy Health Cassville Heliport,-93.872200314,36.675236,Cassville Municipal Airport,-93.9004974365,36.6973991394
Goodnight's Airport,-80.6398010254,35.5253982544,Enochville Airport,-80.6477966309,35.5242996216
Novotny/Tonar Farms Airport,-96.8641967773,41.0208015442,Polaks Sky Ranch Airport,-96.8170013428,41.0332984924
Berlin Regional Airport,-71.17590332,44.57540131,Androscoggin Valley Hospital Helipad,-71.15433,44.48673
Foley Machinery Heliport,-74.487701416,40.5500984192,Penske Heliport,-74.4671020508,40.5573005676
Sulfur Airport,-118.7350006104,40.8638000488,Paiute Meadows Airport,-118.5979995728,41.3032989502
State Police Troop D Heliport,-75.649597168,43.0942001343,Turning Stone Resort & Casino Heliport,-75.593658,43.110569
Memorial Hospital Heliport,-83.1354980469,41.3391990662,Fremont Airport,-83.1612014771,41.3330993652
Victor's Landing Airport,-80.643699646,41.8381004333,Northeast Ohio Regional Airport,-80.6955032349,41.7779998779
Downtown Airpark,-97.532989,35.449183,Nu-Tech Energy County Heliport,-97.5350036621,35.4505996704
Chenoweth Airpark,-121.2710037231,45.611000061,Pointers Airport,-121.2720031738,45.572101593
Wagner Airport,-77.6200027466,40.5526008606,Stottle Memorial Heliport,-77.556602478,40.4035987854
UPMC East Heliport,-79.7606992722,40.4373082101,Forbes Regional Health Center Heliport,-79.7474975586,40.4272994995
Stouffers Heliport,-75.4079971313,40.0892982483,Peco Berwyn Heliport,-75.4552001953,40.0695991516
Dorado Beach Airport,-66.295580864,18.4649657136,Cuylers Airport,-66.366897583,18.4533004761
H&H Personal Use Airport,-77.2303009033,41.9029006958,Nielsen Airport,-77.14136,41.919796
Davis Airport,-81.3112030029,32.6721000671,Harpers Airport,-81.2248001099,32.7584991455
Jerry Creek Airport,-112.8860015869,45.8235015869,Wise River Airport,-112.9820022583,45.7691001892
South Texas Project Heliport,-96.0419006348,28.7922000885,Matagorda Shore Facility Heliport,-95.8738021851,28.7213993073
Mims Farm Ultralightport,-96.8775024414,32.3875999451,Baylor Medical Center Heliport,-96.8641967773,32.395401001
Triune Airfield,-86.612197876,35.8069000244,Ellis Field,-86.584197998,35.7806015015
Water Department Heliport,-97.3450012207,32.7490005493,FWOMC Heliport,-97.370003,32.747601
Rememberance Airport,-101.938542,33.421253,Jaxon Landing Heliport,-101.9390029907,33.4500007629
Pilot Creek Ranches Airport,-114.1139984131,41.1157989502,Juniper Airport,-114.2300033569,41.3554992676
Culpeper Regional Airport,-77.8589019775,38.5266990662,Rular Airport,-77.8283004761,38.538898468
Tri-Cities Heliport,-82.1107025146,36.6459007263,Northstar Aviation Heliport,-82.1166992188,36.6388015747
Flying H Ranch Airport,-122.1200027466,47.1837997437,Bryan Airport,-122.0930023193,47.2085990906
Flying M Ranch Airport,-92.5946428,45.008023,Rusmar Farms Airport,-92.5513000488,45.0121994019
Tonasket Municipal Airport,-119.465634722,48.7248683333,Whitestone Airport,-119.467222222,48.7227777778
Circuit of the Americas Helipad,-97.63848,30.13185,Del Valle Airport,-97.5927963257,30.1676998138
Colberg Airport,-149.2680053711,61.5569992065,Mat-Su Regional Medical Center Heliport,-149.2590026855,61.5629005432
Butler Aviation Airport,-151.2779998779,60.7294006348,Joe Clouds Seaplane Base,-151.1327819824,60.7272224426
Air Evac Base 32 Heliport,-86.049279,34.660352,J5 Mike Airport,-86.222286,34.666347
Malvern Municipal Airport,-92.7614974976,34.3333015442,Hscmh Heliport,-92.7884979248,34.3576011658
Hereford Aux AAF,-110.147806,31.415925,Evelyn Field,-110.125,31.3691997528
Gillespie Field,-116.9720001221,32.8261985779,Grossmont Hospital Heliport,-117.006952,32.779484
Tonga Airport,-104.7929992676,40.1671981812,Kugel-Strong Airport,-104.744003296,40.2125015259
Lake Josephine Seaplane Base,-81.4266967773,27.396900177,Sunshine Ranchettes Heliport,-81.48449707,27.36420059
Garnair Airport,-85.7683029175,30.7796993256,Pate Lake Seaplane Base,-85.7568969727,30.6921005249
Palm Beach Sheriff's Range Heliport,-80.199798584,26.716999054,Ranger Heliport,-80.1873016357,26.6837005615
Pegasus Ranch Airport,-81.7985992432,32.693901062,HIA Airport,-81.8576944,32.5623056
Ronshausen Airport,-83.0718994141,39.6851005554,Beckman Field,-83.038201,39.742569
Sig Field,-92.5345993042,41.5483016968,East Field,-92.4613037109,41.5819015503
Council Municipal Airport,-116.4469985962,44.7499008179,Flying Y Ranch Airport,-116.5329971313,44.7943000793
Hilakos Airport,-87.7714004517,37.9319992065,Davis Field Ultralightport,-87.7789001465,37.9620018005
Meadow Creek Airport,-87.7817001343,41.432800293,Frankfort Airport,-87.8404998779,41.4775009155
Cruzan Field,-85.9447021484,40.1725006104,Ward Airport,-85.9408035278,40.1666984558
Alton Memorial Hospital Heliport,-90.1613998413,38.9021987915,Riverlands Area Heliport,-90.1570968628,38.8630981445
Sommers Airport,-95.3336029053,39.8666992188,Valley Grain Heliport,-95.2640991211,39.8647003174
Community Methodist Hospital Heliport,-87.5839004517,37.8558998108,Henderson City County Airport,-87.68569946,37.80780029
Cosmar Styrene Plant Heliport,-91.0727996826,30.2224998474,East Field,-91.0865020752,30.2513008118
Winnsboro Municipal Airport,-91.6985015869,32.1529998779,Fmc Nr 1 Heliport,-91.7080001831,32.1590003967
Augusta State Airport,-69.7973022461,44.3205986023,Augusta Seaplane Base,-69.7817001343,44.2676010132
Northampton Airport,-72.61139679,42.3280983,Hadley Airport,-72.5520019531,42.3931007385
Fallston General Hospital Heliport,-76.3908004761,39.4977989197,Fallston Airport,-76.4111022949,39.501499176
Mast Cove Seaplane Base,-70.6412963867,43.9949989319,Maple Ridge Airport,-70.6272964478,44.0842018127
Kenneth Hayward Airport,-83.8541030884,43.5334014893,Harold Miller Heliport,-83.862197876,43.5508995056
H Reder Field,-95.172501,43.695802,Nauerth Land Ranch Airport,-95.2247009277,43.6251983643
Urbana Area Medical Heliport,-93.1669006348,37.8417015076,Cahoochie Airport,-93.131599,37.884499
Parkview Regional Medical Center Heliport,-90.8583984375,32.3460006714,River Region Medical Center Heliport,-90.823600769,32.3736000061
Barrett Field,-111.7419967651,47.2374000549,Bar E Airport,-112.0849990845,47.1689987183
Hart Airport,-94.476600647,38.5494995117,Mc Donnell Airport,-94.4124984741,38.4925003052
Ailuk Airport,169.983001709,10.216799736,Wotje Atoll Airport,170.238611,9.458333
Wilmington International Airport,-77.9026031494,34.2705993652,Pilots Ridge Airport,-77.9041976929,34.1043014526
Bohn Airstrip,-97.889503479,48.7322006226,Grand Forks Par Site Heliport,-97.9112014771,48.7219009399
Sargent Municipal Airport,-99.3404006958,41.6370010376,Cram Field,-99.1496963501,41.7766990662
Goddard Field (Airport),-71.1391983032,42.8097991943,Gordon Brown Heliport,-71.1595001221,42.8418006897
"Lockheed Electronics Company, Inc. Heliport",-74.4213027954,40.6422996521,At&T Heliport,-74.410697937,40.6687011719
Elko Regional Airport,-115.7919998169,40.8249015808,Llama Ranch Airport,-115.297996521,40.584400177
Calverton Executive Airpark,-72.7919006348,40.9151000977,Talmage Field,-72.716796875,40.9584007263
Boggy Bottoms Airport,-82.9826965332,41.4234008789,Gibbs Field,-83.0174026489,41.4183998108
4th Dist Police Station Heliport,-81.6195983887,41.4720001221,Marymount Hospital Heliport,-81.5998001099,41.4208984375
St John Sapulpa Hospital Heliport,-96.0919036865,36.0000991821,Morris Airport,-96.1044006348,35.9500999451
Beach Ranch Airport,-117.2350006104,45.9637985229,Powwatka Ridge Airport,-117.4840011597,45.8554000854
Wyeth Pharmaceuticals Heliport,-75.4634017944,40.1586990356,Kunda Airport,-75.4496002197,40.1668014526
Berwick Airport,-76.2163009644,41.0694999695,Berwick Hospital Corporation Personal Use Heliport,-76.231300354,41.070400238
Bovinair Airport,-94.9447,39.0625,Ney Airport,-94.948600769,39.0699996948
Ridge Soaring Gliderport,-77.9072036743,40.8838996887,Ziggy's Field,-77.9056015015,40.8499984741
Mc Kinnon Airpark,-122.241996765,45.4306983948,Auberge Des Fleurs Airport,-122.2539978027,45.449798584
Grand Strand Airport,-78.7238998413,33.8116989136,Seacoast Medical Center Heliport,-78.6619033813,33.8650016785
Lucky Star Ranch Airport,-96.5268611,30.2911944,Twisted T Field,-96.597836,30.260228
Barronena East Airport,-98.6620025635,27.4850006104,O S Wyatt Airport,-98.6044998169,27.4216995239
Sixty Six Heliport,-83.5781021118,35.8959007263,Eagles Landing Heliport,-83.5793991089,35.9225006104
Angelo Community Hospital Heliport,-100.4710006714,31.418800354,Shannon Medical Center Heliport,-100.43800354,31.4598999023
Joe Rye Heliport,-95.3035964966,29.5851993561,Bradair Heliport,-95.2829971313,29.5904998779
Monument Valley Airport,-110.200996399,37.0167007446,Oljato Airport,-110.3170013428,37.0332984924
Valley View Airport,-77.5511016846,38.6917991638,Aden Field,-77.5327987671,38.6484985352
Paradise Air Ranch Airport,-117.4189987183,47.4706993103,Spangle Field,-117.3720016479,47.4081993103
Edinger Field,-88.870903,44.0047,Happy Jacks Air Strip,-88.8333969116,44.0
Hillcrest Airport,-120.7009963989,45.8451004028,Wasco State Airport,-120.6740036011,45.5894012451
Ducote Airpark,-100.6129989624,31.358499527,Creekside Airport,-100.7539978027,31.3180999756
Scooter's Landing Strip,-150.8309936523,60.5293998718,Phil's Airport,-150.811387,60.535833
Talladega Municipal Airport,-86.0509033203,33.5699005127,Anniston AHP (Anniston Army Depot),-85.96720123,33.62639999
Saline County/Watts Field,-92.6069030762,34.5565986633,Saline Memorial Hospital Heliport,-92.586047,34.574319
Chinle Municipal Airport,-109.5749969482,36.1109008789,Chinle Airport,-109.5510025024,36.1542015076
Hansen Airport,-117.6529998779,34.6300010681,El Mirage Field Adelanto Airport,-117.6050033569,34.625
Rancho Vallecito Airport,-116.408997,32.970901,Agua Caliente Airport,-116.2929992676,32.9500999451
O And G Heliport,-73.1162033081,41.7737007141,Northfield Heliport,-73.1156997681,41.7237014771
Smith Flying Service Airport,-98.4879989624,32.1086997986,Quahadi Ranch Airport,-98.4349975586,32.1777992249
B & L Farms Airport,-80.4998016357,25.5837001801,Lindbergh's Landing Airport,-80.4887008667,25.6194992065
Hillsborough County Fire Rescue Heliport,-82.3455833,27.9699806,Tampa General Hospital Brandon Healthplex Heliport,-82.336981,27.929372
The 2A Ranch Airport,-81.230103,29.2675,Cross Creek Farms Airport,-81.2220001221,29.2394008636
Darby Dan Airport,-83.2049026489,39.9420013428,Sky Ranch Airport,-83.236398,39.935451
Fairfield Municipal Airport,-91.9788970947,41.0532989502,Estle Field,-91.9466018677,41.0802993774
Emmett Municipal Airport,-116.5429992676,43.849899292,Lanham Field,-116.5370025635,43.8777008057
Air Park Field,-84.9471969604,41.1277999878,Casad Industrial Park Airport,-84.9427032471,41.0792007446
Corn Alley 2 Airport,-89.016593,40.755681,Schertz Aerial Service - Hudson Airport,-89.0070037842,40.6375007629
Lake Pleasant Seaplane Base,-85.0919036865,41.7569999695,Lake Gage Seaplane Base,-85.113056,41.701389
Niklaus RLA Restricted Landing Area,-88.6153030396,40.1833992004,Van Gorder Airport,-88.5690002441,40.1786003113
Lawrence Memorial Hospital Heliport,-95.2489013672,38.9799995422,Robinson Industries Heliport,-95.2197036743,38.9789009094
Glasgow Municipal Airport,-85.9536972,37.03179932,Natchez Trace Farm Airport,-85.7893981934,37.1351013184
Port of South Louisiana Executive Regional Airport,-90.582602,30.087,River Parish Hospital Heliport,-90.5154037476,30.0715007782
